State,Facility Name,Facility ID (ORISPL),Unit ID,Caveat
TX,San Jacinto County Peaking Facility,56603,SJCCT1,"San Jacinto County Peaking Facility (ORISPL 56603) Unit SJCCT1 in Texas was previously Warren Peaking Power Facility (ORISPL 55303) Unit AA-002 in Mississippi, and started submitting emissions at the new location in Q2 2009"
TX,San Jacinto County Peaking Facility,56603,SJCCT2,"San Jacinto County Peaking Facility (ORISPL 56603) Unit SJCCT2 in Texas was previously Warren Peaking Power Facility (ORISPL 55303) Unit AA-003 in Mississippi, and started submitting emissions at the new location in Q1 2009"
TX,Hardin County Peaking Facility,56604,HCCT1,"Hardin County Peaking Facility (ORISPL 56604) Unit HCCT1 in Texas was previously Warren Peaking Power Facility (ORISPL 55303) Unit AA-001 in Mississippi, and started submitting emissions at the new location in Q2 2009"
TX,Hardin County Peaking Facility,56604,HCCT2,"Hardin County Peaking Facility (ORISPL 56604) Unit HCCT2 in Texas was previously Warren Peaking Power Facility (ORISPL 55303) Unit AA-004 in Mississippi, and started submitting emissions at the new location in Q1 2009"
TX,Quail Run Energy Center,56349,CT2A,"Quail Run Energy Center (ORISPL 56349) Unit CT2A in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT3 in Mississippi, and started submitting emissions at the new location in Q2 2008"
TX,Quail Run Energy Center,56349,CT2B,"Quail Run Energy Center (ORISPL 56349) Unit CT2B in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT4 in Mississippi, and started submitting emissions at the new location in Q2 2008"
TX,Newman,3456,GT-6A,"Newman (ORISPL 3456) Unit GT-6A in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT7 in Mississippi, and started submitting emissions at the new location in Q2 2009"
TX,Newman,3456,GT-6B,"Newman (ORISPL 3456) Unit GT-6B in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT8 in Mississippi, and started submitting emissions at the new location in Q2 2009"
TX,Colorado Bend Energy Center,56350,CT1A,"Colorado Bend Energy Center (ORISPL 56350) Unit CT1A in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT1 in Mississippi, and started submitting emissions at the new location in Q2 2007"
TX,Colorado Bend Energy Center,56350,CT1B,"Colorado Bend Energy Center (ORISPL 56350) Unit CT1B in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT2 in Mississippi, and started submitting emissions at the new location in Q2 2007"
TX,Colorado Bend Energy Center,56350,CT2A,"Colorado Bend Energy Center (ORISPL 56350) Unit CT2A in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT5 in Mississippi, and started submitting emissions at the new location in Q3 2008"
TX,Colorado Bend Energy Center,56350,CT2B,"Colorado Bend Energy Center (ORISPL 56350) Unit CT2B in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT6 in Mississippi, and started submitting emissions at the new location in Q3 2008"
TX,Bacliff Generating Station,60264,BCGT1,"Bacliff Generating Station (ORISPL 60264) Unit BCGT1 in Texas was previously BTEC New Albany LLC (ORISPL 13213) Unit AA-001 in Mississippi, and started submitting emissions at the new location in Q1 2015"
TX,Bacliff Generating Station,60264,BCGT2,"Bacliff Generating Station (ORISPL 60264) Unit BCGT2 in Texas was previously BTEC New Albany LLC (ORISPL 13213) Unit AA-002 in Mississippi, and started submitting emissions at the new location in Q1 2015"
TX,Bacliff Generating Station,60264,BCGT3,"Bacliff Generating Station (ORISPL 60264) Unit BCGT3 in Texas was previously BTEC New Albany LLC (ORISPL 13213) Unit AA-003 in Mississippi, and started submitting emissions at the new location in Q1 2015"
TX,Bacliff Generating Station,60264,BCGT4,"Bacliff Generating Station (ORISPL 60264) Unit BCGT4 in Texas was previously BTEC New Albany LLC (ORISPL 13213) Unit AA-004 in Mississippi, and started submitting emissions at the new location in Q1 2015"
TX,Bacliff Generating Station,60264,BCGT5,"Bacliff Generating Station (ORISPL 60264) Unit BCGT5 in Texas was previously BTEC New Albany LLC (ORISPL 13213) Unit AA-005 in Mississippi, and started submitting emissions at the new location in Q1 2015"
TX,Bacliff Generating Station,60264,BCGT6,"Bacliff Generating Station (ORISPL 60264) Unit BCGT6 in Texas was previously BTEC New Albany LLC (ORISPL 13213) Unit AA-006 in Mississippi, and started submitting emissions at the new location in Q1 2015"
AR,Harry D. Mattison Power Plant,56328,3,"Harry D. Mattison Power Plant (ORISPL 56328) Unit 3 in Arkansas was previously Caledonia Power I, LLC (ORISPL 55082) Unit AA-001 in Mississippi, and started submitting emissions at the new location in Q3 2007"
AR,Harry D. Mattison Power Plant,56328,4,"Harry D. Mattison Power Plant (ORISPL 56328) Unit 4 in Arkansas was previously Caledonia Power I, LLC (ORISPL 55082) Unit AA-002 in Mississippi, and started submitting emissions at the new location in Q3 2007"
OK,Southwestern,2964,8004,"Southwestern (ORISPL 2964) Unit 8004 in Oklahoma was previously Caledonia Power I, LLC (ORISPL 55082) Unit AA-005 in Mississippi, and started submitting emissions at the new location in Q1 2008"
OK,Southwestern,2964,8005,"Southwestern (ORISPL 2964) Unit 8005 in Oklahoma was previously Caledonia Power I, LLC (ORISPL 55082) Unit AA-006 in Mississippi, and started submitting emissions at the new location in Q1 2008"
OK,Riverside (4940),4940,1503,"Riverside (ORISPL 4940) Unit 1503 in Oklahoma was previously Caledonia Power I, LLC (ORISPL 55082) Unit AA-003 in Mississippi, and started submitting emissions at the new location in Q1 2008"
OK,Riverside (4940),4940,1504,"Riverside (ORISPL 4940) Unit 1504 in Oklahoma was previously Caledonia Power I, LLC (ORISPL 55082) Unit AA-004 in Mississippi, and started submitting emissions at the new location in Q1 2008"
LA,Waterford 1 & 2,8056,4,"Waterford 1 & 2 (ORISPL 8056) Unit 4 in Louisiana was previously South Glens Falls Energy (ORISPL 10618) Unit 1 in New York, and started submitting emissions at the new location in Q3 2009"
NY,Ravenswood Steam Plant,880100,BLR001,"Ravenswood Steam Plant (ORISPL 880100) Unit BLR001 in New York was previously Ravenswood Generating Station (ORISPL 2500) Unit BLR001 in New York, and started submitting emissions at the new location in Q1 2010"
NY,Ravenswood Steam Plant,880100,BLR002,"Ravenswood Steam Plant (ORISPL 880100) Unit BLR002 in New York was previously Ravenswood Generating Station (ORISPL 2500) Unit BLR002 in New York, and started submitting emissions at the new location in Q1 2010"
NY,Ravenswood Steam Plant,880100,BLR003,"Ravenswood Steam Plant (ORISPL 880100) Unit BLR003 in New York was previously Ravenswood Generating Station (ORISPL 2500) Unit BLR003 in New York, and started submitting emissions at the new location in Q1 2010"
NY,Ravenswood Steam Plant,880100,BLR004,"Ravenswood Steam Plant (ORISPL 880100) Unit BLR004 in New York was previously Ravenswood Generating Station (ORISPL 2500) Unit BLR004 in New York, and started submitting emissions at the new location in Q1 2010"
PA,Hunlock Unit 4,56397,4,"Hunlock (ORISPL 56397) Unit 4 in Pennsylvania was previously Hunlock Creek Energy Center (ORISPL 3176) Unit 4 in Pennsylvania, and started submitting emissions at the new location in Q1 2006"
PA,SPMT Marcus Hook Industrial Complex,880107,AB01,"SPMT Marcus Hook Industrial Complex (ORISPL 880107) Unit AB01 in Pennsylvania was previously Marcus Hook Energy, LP (ORISPL 55801) Unit AB01 in Pennsylvania, and started submitting emissions at the new location in Q4 2016"
PA,SPMT Marcus Hook Industrial Complex,880107,AB02,"SPMT Marcus Hook Industrial Complex (ORISPL 880107) Unit AB02 in Pennsylvania was previously Marcus Hook Energy, LP (ORISPL 55801) Unit AB02 in Pennsylvania, and started submitting emissions at the new location in Q4 2016"
PA,SPMT Marcus Hook Industrial Complex,880107,AB03,"SPMT Marcus Hook Industrial Complex (ORISPL 880107) Unit AB03 in Pennsylvania was previously Marcus Hook Energy, LP (ORISPL 55801) Unit AB03 in Pennsylvania, and started submitting emissions at the new location in Q4 2016"
PA,SPMT Marcus Hook Industrial Complex,880107,AB04,"SPMT Marcus Hook Industrial Complex (ORISPL 880107) Unit AB04 in Pennsylvania was previously Marcus Hook Energy, LP (ORISPL 55801) Unit AB04 in Pennsylvania, and started submitting emissions at the new location in Q4 2016"
TX,Carbon Capture Plant,58378,CTHRSG,"Carbon Capture Plant (ORISPL 58378) Unit CTHRSG in Texas was previously W A Parish (ORISPL 3470) Unit CTSC in Texas, and started submitting emissions at the new location in Q1 2017"
WY,Neil Simpson II (CT2),55477,CT2,"Neil Simpson II (ORISPL 55477) Unit CT2 in Wyoming was previously Neil Simpson II (ORISPL 7504) Unit CT2 in Wyoming, and started submitting emissions at the new location in Q3 2001"
OR,Port Westward,56227,PWEU1,Unit ID change from PW1 to PWEU1
VA,Panda Stonewall Power Project,59004,CT2,Unit ID change from GEN2 to CT2
VA,Panda Stonewall Power Project,59004,CT1,Unit ID change from GEN1 to CT1
IN,Wheatland Generating Facility LLC,55224,EU-04,Unit ID change from CTG-4 to EU-04
IN,Wheatland Generating Facility LLC,55224,EU-03,Unit ID change from CTG-3 to EU-03
IN,Wheatland Generating Facility LLC,55224,EU-02,Unit ID change from CTG-2 to EU-02
IN,Wheatland Generating Facility LLC,55224,EU-01,Unit ID change from CTG-1 to EU-01
LA,Brame Energy Center,6190,1-Mar,Unit ID change from 3 to 3-1
OH,West Lorain,2869,1B,Unit ID change from CT1B to 1B
OH,West Lorain,2869,1A,Unit ID change from CT1A to 1A
MO,Lake Road,2098,GT5,Unit ID change from GT 5 to GT5
TX,Cottonwood Energy Project,55358,CT4,Unit ID change from 000CT4 to CT4
TX,Cottonwood Energy Project,55358,CT3,Unit ID change from 000CT3 to CT3
TX,Cottonwood Energy Project,55358,CT2,Unit ID change from 000CT2 to CT2
TX,Cottonwood Energy Project,55358,CT1,Unit ID change from 000CT1 to CT1
CO,Spindle Hill Energy Center,56445,CT-02,Unit ID change from 2 to CT-02
CO,Spindle Hill Energy Center,56445,CT-01,Unit ID change from 1 to CT-01
WI,Germantown Power Plant,6253,P33,Unit ID change from 4 to P33
WI,Germantown Power Plant,6253,P32,Unit ID change from 3 to P32
WI,Germantown Power Plant,6253,P31,Unit ID change from 2 to P31
WI,Germantown Power Plant,6253,P30,Unit ID change from 1 to P30
MN,Faribault Energy Park,56164,EU006,Unit ID change from 06 to EU006
CA,Creed Energy Center,55625,UNIT1,Unit ID change from 1 to UNIT1
NC,Craven County Wood Energy,10525,ES5A,Unit ID change from 4A to ES5A
MO,John Twitty Energy Center,6195,CT2B,Unit ID change from GT2B to CT2B
MO,John Twitty Energy Center,6195,CT2A,Unit ID change from GT2A to CT2A
MO,John Twitty Energy Center,6195,CT1B,Unit ID change from GT1B to CT1B
MO,John Twitty Energy Center,6195,CT1A,Unit ID change from GT1A to CT1A
CO,Pueblo Airport Generating Station,56998,CT07,Unit ID change from CT5B to CT07
CO,Pueblo Airport Generating Station,56998,CT06,Unit ID change from CT5A to CT06
CO,Pueblo Airport Generating Station,56998,CT05,Unit ID change from CT4B to CT05
CO,Pueblo Airport Generating Station,56998,CT04,Unit ID change from CT4A to CT04
CO,Pueblo Airport Generating Station,56998,CT4A,Unit ID change from CT4 to CT4A
CO,Pueblo Airport Generating Station,56998,CT03,Unit ID change from CT3 to CT03
CO,Pueblo Airport Generating Station,56998,CT02,Unit ID change from CT2 to CT02
CO,Pueblo Airport Generating Station,56998,CT01,Unit ID change from CT1 to CT01
AR,Magnet Cove Generating Station,55714,SN-02,Unit ID change from GT-2 to SN-02
AR,Magnet Cove Generating Station,55714,SN-01,Unit ID change from GT-1 to SN-01
IL,Kendall Energy Facility,55131,GTG-4,Unit ID change from 4 to GTG-4
IL,Kendall Energy Facility,55131,GTG-3,Unit ID change from 3 to GTG-3
IL,Kendall Energy Facility,55131,GTG-2,Unit ID change from 2 to GTG-2
IL,Kendall Energy Facility,55131,GTG-1,Unit ID change from 1 to GTG-1
MT,Hardin Generating Station,55749,U1,Unit ID change from 1 to U1
TX,Sam Bertron,3468,SRBG1,Unit ID change from GT1 to SRBG1
NE,Rokeby,6373,BS1,Unit ID change from 000BS1 to BS1
FL,Oleander Power Project,55286,O-5,Unit ID change from OG-5 to O-5
FL,Oleander Power Project,55286,OG-5,Unit ID change from O-5 to OG-5
FL,Oleander Power Project,55286,O-4,Unit ID change from OG-4 to O-4
FL,Oleander Power Project,55286,OG-4,Unit ID change from O-4 to OG-4
FL,Oleander Power Project,55286,O-3,Unit ID change from OG-3 to O-3
FL,Oleander Power Project,55286,OG-3,Unit ID change from O-3 to OG-3
FL,Oleander Power Project,55286,O-2,Unit ID change from OG-2 to O-2
FL,Oleander Power Project,55286,OG-2,Unit ID change from O-2 to OG-2
FL,Oleander Power Project,55286,O-1,Unit ID change from OG-1 to O-1
FL,Oleander Power Project,55286,OG-1,Unit ID change from O-1 to OG-1
WA,Frederickson Power LP,55818,F1CT,Unit ID change from 10645 to F1CT
FL,"Quantum Lake Power, LP",54423,EU004,Unit ID change from 004 to EU004
FL,"Quantum Lake Power, LP",54423,EU003,Unit ID change from 003 to EU003
GA,Bowen,703,6A,Unit ID change from 6 to 6A
CA,"Otay Mesa Energy Center, LLC",55345,CTG-2,Unit ID change from CTGZ2 to CTG-2
CA,"Otay Mesa Energy Center, LLC",55345,CTGZ2,Unit ID change from 0CTGZ2 to CTGZ2
CA,"Otay Mesa Energy Center, LLC",55345,CTG-1,Unit ID change from CTGZ1 to CTG-1
CA,"Otay Mesa Energy Center, LLC",55345,CTGZ1,Unit ID change from 0CTGZ1 to CTGZ1
AR,Dell Power Plant,55340,2,Unit ID change from SN02 to 2
AR,Dell Power Plant,55340,1,Unit ID change from SN01 to 1
TX,Odessa Ector Generating Station,55215,GT4,Unit ID change from HRSG4 to GT4
TX,Odessa Ector Generating Station,55215,GT3,Unit ID change from HRSG3 to GT3
TX,Odessa Ector Generating Station,55215,GT2,Unit ID change from HRSG2 to GT2
TX,Odessa Ector Generating Station,55215,GT1,Unit ID change from HRSG1 to GT1
TX,Wolf Hollow Generating Station,55139,AUXBLR,Unit ID change from AUX to AUXBLR
TX,Sandy Creek Energy Station,56611,S01,Unit ID change from 1 to S01
VA,Marsh Run Generation Facility,7836,EU4,Unit ID change from 4 to EU4
VA,Marsh Run Generation Facility,7836,EU3,Unit ID change from 3 to EU3
VA,Marsh Run Generation Facility,7836,EU2,Unit ID change from 2 to EU2
VA,Marsh Run Generation Facility,7836,EU1,Unit ID change from 1 to EU1
MI,Eckert Station,1831,14,Unit ID change from MP14 to 14
CA,Moss Landing,260,4A,Unit ID change from 2B to 4A
CA,Moss Landing,260,3A,Unit ID change from 1B to 3A
AZ,Mesquite Generating Station,55481,6,Unit ID change from 4 to 6
AZ,Mesquite Generating Station,55481,5,Unit ID change from 3 to 5
WI,Island Street Peaking Plant,55836,1B,Unit ID change from CT1B to 1B
WI,Island Street Peaking Plant,55836,1A,Unit ID change from CT1A to 1A
TX,Greens Bayou,3464,GBY84,Unit ID change from 84 to GBY84
TX,Greens Bayou,3464,GBY83,Unit ID change from 83 to GBY83
TX,Greens Bayou,3464,GBY82,Unit ID change from 82 to GBY82
TX,Greens Bayou,3464,GBY81,Unit ID change from 81 to GBY81
TX,Greens Bayou,3464,GBY74,Unit ID change from 74 to GBY74
TX,Greens Bayou,3464,GBY73,Unit ID change from 73 to GBY73
FL,Intercession City,8049,6A,Unit ID change from P6 to 6A
FL,Intercession City,8049,5A,Unit ID change from P5 to 5A
FL,Intercession City,8049,4A,Unit ID change from P4 to 4A
FL,Intercession City,8049,1A,Unit ID change from P1 to 1A
FL,Intercession City,8049,3A,Unit ID change from P3 to 3A
FL,Intercession City,8049,2A,Unit ID change from P2 to 2A
AR,Fulton,7825,CT1,Unit ID change from 1 to CT1
NY,Bethpage Energy Center,50292,GT3,Unit ID change from 3 to GT3
MS,Moselle Generating Plant,2070,5,Unit ID change from **5 to 5
CA,Lambie Energy Center,55626,UNIT1,Unit ID change from 1 to UNIT1
GA,Mitchell (GA),727,4CA,Unit ID change from 4C to 4CA
GA,Mitchell (GA),727,4BA,Unit ID change from 4B to 4BA
GA,Mitchell (GA),727,4AA,Unit ID change from 4A to 4AA
LA,Plaquemine Cogen Facility,55419,600,Unit ID change from GT-600 to 600
LA,Plaquemine Cogen Facility,55419,500,Unit ID change from GT-500 to 500
LA,Plaquemine Cogen Facility,55419,800,Unit ID change from GT-800 to 800
LA,Plaquemine Cogen Facility,55419,700,Unit ID change from GT-700 to 700
TX,T H Wharton,3469,THW56,Unit ID change from 56 to THW56
TX,T H Wharton,3469,THW55,Unit ID change from 55 to THW55
TX,T H Wharton,3469,THW54,Unit ID change from 54 to THW54
TX,T H Wharton,3469,THW53,Unit ID change from 53 to THW53
TX,T H Wharton,3469,THW52,Unit ID change from 52 to THW52
TX,T H Wharton,3469,THW51,Unit ID change from 51 to THW51
TX,T H Wharton,3469,THW44,Unit ID change from 44 to THW44
TX,T H Wharton,3469,THW43,Unit ID change from 43 to THW43
TX,T H Wharton,3469,THW42,Unit ID change from 42 to THW42
TX,T H Wharton,3469,THW41,Unit ID change from 41 to THW41
TX,T H Wharton,3469,THW34,Unit ID change from 34 to THW34
TX,T H Wharton,3469,THW33,Unit ID change from 33 to THW33
TX,T H Wharton,3469,THW32,Unit ID change from 32 to THW32
TX,T H Wharton,3469,THW31,Unit ID change from 31 to THW31
IL,"LSP University Park, LLC",55640,CT09,Unit ID change from 9 to CT09
IL,"LSP University Park, LLC",55640,CT08,Unit ID change from 8 to CT08
IL,"LSP University Park, LLC",55640,CT07,Unit ID change from 7 to CT07
IL,"LSP University Park, LLC",55640,CT06,Unit ID change from 6 to CT06
IL,"LSP University Park, LLC",55640,CT05,Unit ID change from 5 to CT05
IL,"LSP University Park, LLC",55640,CT04,Unit ID change from 4 to CT04
IL,"LSP University Park, LLC",55640,CT03,Unit ID change from 3 to CT03
IL,"LSP University Park, LLC",55640,CT02,Unit ID change from 2 to CT02
IL,"LSP University Park, LLC",55640,CT12,Unit ID change from 12 to CT12
IL,"LSP University Park, LLC",55640,CT11,Unit ID change from 11 to CT11
IL,"LSP University Park, LLC",55640,CT10,Unit ID change from 10 to CT10
IL,"LSP University Park, LLC",55640,CT01,Unit ID change from 1 to CT01
AL,Decatur Energy Center,55292,CTG-3,Unit ID change from CT3 to CTG-3
AL,Decatur Energy Center,55292,CTG-2,Unit ID change from CT2 to CTG-2
AL,Decatur Energy Center,55292,CTG-1,Unit ID change from CT1 to CTG-1
AL,Morgan Energy Center,55293,CT-3,Unit ID change from CT3 to CT-3
AL,Morgan Energy Center,55293,CT-2,Unit ID change from CT2 to CT-2
AL,Morgan Energy Center,55293,CT-1,Unit ID change from CT1 to CT-1
TX,"Brazos Valley Energy, LP",55357,CTG2,Unit ID change from CTG002 to CTG2
TX,"Brazos Valley Energy, LP",55357,CTG1,Unit ID change from CTG001 to CTG1
TX,"Brazos Valley Energy, LP",55357,CTG4,Unit ID change from DB002 to CTG4
TX,"Brazos Valley Energy, LP",55357,DB002,Unit ID change from 0DB002 to DB002
TX,"Brazos Valley Energy, LP",55357,CTG3,Unit ID change from DB001 to CTG3
TX,"Brazos Valley Energy, LP",55357,DB001,Unit ID change from 0DB001 to DB001
ID,Bennett Mountain Power Project,55733,CT01,Unit ID change from 01 to CT01
CA,Roseville Energy Park,56298,CT002,Unit ID change from 2 to CT002
CA,Roseville Energy Park,56298,CT001,Unit ID change from 1 to CT001
MN,Cannon Falls Energy Center,56241,CT-02,Unit ID change from 2 to CT-02
MN,Cannon Falls Energy Center,56241,CT-01,Unit ID change from 1 to CT-01
AZ,APS West Phoenix Power Plant,117,CC5A,Unit ID change from CC5 to CC5A
FL,Suwannee River,638,3A,Unit ID change from P3 to 3A
FL,Suwannee River,638,2A,Unit ID change from P2 to 2A
FL,Suwannee River,638,1A,Unit ID change from P1 to 1A
NY,Selkirk Cogen Partners,10725,CTG301,Unit ID change from 00003 to CTG301
NY,Selkirk Cogen Partners,10725,CTG201,Unit ID change from 00002 to CTG201
NY,Selkirk Cogen Partners,10725,CTG101,Unit ID change from 00001 to CTG101
MS,David M Ratcliffe,57037,AB-002,Unit ID change from AB002 to AB-002
MS,David M Ratcliffe,57037,AB-001,Unit ID change from AB001 to AB-001
NY,Poletti 500 MW CC,56196,CTG7A,Unit ID change from 1 to CTG7A
MN,Cambridge Station,2038,2,Unit ID change from 002 to 2
GA,Mid-Georgia Cogeneration,55040,2,Unit ID change from 201 to 2
GA,Mid-Georgia Cogeneration,55040,201,Unit ID change from 2 to 201
GA,Mid-Georgia Cogeneration,55040,1,Unit ID change from 101 to 1
GA,Mid-Georgia Cogeneration,55040,101,Unit ID change from 1 to 101
PA,Helix Ironwood LLC,55337,2,Unit ID change from 2 to 0002
PA,Helix Ironwood LLC,55337,1,Unit ID change from 1 to 0001
FL,Fort Myers,612,GFM10,Unit ID change from GMF10 to GFM10
FL,Fort Myers,612,GFM09,Unit ID change from GFM9 to GFM09
FL,Fort Myers,612,GFM08,Unit ID change from GFM8 to GFM08
FL,Fort Myers,612,GFM07,Unit ID change from GFM7 to GFM07
FL,Fort Myers,612,GFM06,Unit ID change from GFM6 to GFM06
FL,Fort Myers,612,GFM05,Unit ID change from GFM5 to GFM05
FL,Fort Myers,612,GFM04,Unit ID change from GFM4 to GFM04
FL,Fort Myers,612,GFM03,Unit ID change from GFM3 to GFM03
FL,Fort Myers,612,GFM02,Unit ID change from GFM2 to GFM02
FL,Fort Myers,612,GFM01,Unit ID change from GFM1 to GFM01
NM,Bluffview Power Plant,55977,CTG-1,Unit ID change from CTG1 to CTG-1
MS,Red Hills Generation Facility,55076,AA004,Unit ID change from AA-004 to AA004
MS,Red Hills Generation Facility,55076,AA003,Unit ID change from AA-003 to AA003
MS,Red Hills Generation Facility,55076,AA002,Unit ID change from AA-002 to AA002
MS,Red Hills Generation Facility,55076,AA001,Unit ID change from AA-001 to AA001
MA,NSTAR Electric Cannon Street,1616,2,Unit ID change from 000002 to 2
MA,NSTAR Electric Cannon Street,1616,1,Unit ID change from 000001 to 1
NV,Walter M. Higgins III Generating Station,55687,BHG2,Unit ID change from BHN2 to BHG2
NV,Walter M. Higgins III Generating Station,55687,BHG1,Unit ID change from BHN1 to BHG1
UT,Nebo Power Station,56177,U1,Unit ID change from 1 to U1
NY,S A Carlson,2682,20,Unit ID change from 7 to 20
NY,S A Carlson,2682,7,Unit ID change from 20 to 7
CA,Riverside Energy Resource Center,56143,2,Unit ID change from UNIT2 to 2
CA,Riverside Energy Resource Center,56143,1,Unit ID change from UNIT1 to 1
OH,Dresden Energy Facility,55350,1B,Unit ID change from 2 to 1B
OH,Dresden Energy Facility,55350,1A,Unit ID change from 1 to 1A
CA,"Delano Energy Center, LLC",58122,GEN1,"Delano Energy Center, LLC (ORISPL 58122) Unit GEN1 in California was previously Wellhead Power Gates, LLC (ORISPL 55875) Unit GT1 in California, and started submitting emissions at the new location in Q1 2013"
FL,Indian River (55318),55318,1,"Indian River (ORISPL 55318) Unit 1 in Florida was previously Indian River (ORISPL 683) Unit 1 in Florida, and started submitting emissions at the new location in Q2 2000"
FL,Indian River (55318),55318,2,"Indian River (ORISPL 55318) Unit 2 in Florida was previously Indian River (ORISPL 683) Unit 2 in Florida, and started submitting emissions at the new location in Q2 2000"
FL,Indian River (55318),55318,3,"Indian River (ORISPL 55318) Unit 3 in Florida was previously Indian River (ORISPL 683) Unit 3 in Florida, and started submitting emissions at the new location in Q2 2000"
FL,Auburndale Peaker Energy Center,55833,6,"Auburndale Peaker Energy Center (ORISPL 55833) Unit 6 in Florida was previously Quantum Auburndale Power, LP (ORISPL 54658) Unit 6 in Florida, and started submitting emissions at the new location in Q1 2009"
GA,Wansley CC (55965),55965,6A,"Wansley CC (ORISPL 55965) Unit 6A in Georgia was previously Wansley (ORISPL 6052) Unit 6A in Georgia, and started submitting emissions at the new location in Q1 2012"
GA,Wansley CC (55965),55965,6B,"Wansley CC (ORISPL 55965) Unit 6B in Georgia was previously Wansley (ORISPL 6052) Unit 6B in Georgia, and started submitting emissions at the new location in Q1 2012"
GA,Wansley CC (55965),55965,7A,"Wansley CC (ORISPL 55965) Unit 7A in Georgia was previously Wansley (ORISPL 6052) Unit 7A in Georgia, and started submitting emissions at the new location in Q1 2012"
GA,Wansley CC (55965),55965,7B,"Wansley CC (ORISPL 55965) Unit 7B in Georgia was previously Wansley (ORISPL 6052) Unit 7B in Georgia, and started submitting emissions at the new location in Q1 2012"
IN,Wabash River Highland Plant,57842,1,"Wabash River Highland Plant (ORISPL 57842) Unit 1 in Indiana was previously Wabash River Gen Station (ORISPL 1010) Unit 1 in Indiana, and started submitting emissions at the new location in Q1 2017"
